,period,state,stateDescription,electric-utilities,independent-power-producers,combined-heat-and-pwr-elect,elect-pwr-sector-gen-subtotal,combined-heat-and-pwr-comm,combined-heat-and-pwr-indust,indust-and-comm-gen-subtotal,total-net-generation,total-international-imports,total-supply,full-service-providers,energy-only-providers,facility-direct,total-elect-indust,direct-use,total-international-exports,estimated-losses,net-interstate-trade,unaccounted,total-disposition,net-trade-index,electric-utilities-units,independent-power-producers-units,combined-heat-and-pwr-elect-units,elect-pwr-sector-gen-subtotal-units,combined-heat-and-pwr-comm-units,combined-heat-and-pwr-indust-units,indust-and-comm-gen-subtotal-units,total-net-generation-units,total-international-imports-units,total-supply-units,full-service-providers-units,energy-only-providers-units,facility-direct-units,total-elect-indust-units,direct-use-units,total-international-exports-units,estimated-losses-units,net-interstate-trade-units,unaccounted-units,total-disposition-units,net-trade-index-units
706,1990,MN,Minnesota,41549628,239506,0,41789134,101121,1180121,1281242,43070375,1741988.0,44812363,47166915,0,0.0,47166915,1272998.0,1014279.0,3580950,-9042789,49211483,44812363,0.83,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
707,1991,MN,Minnesota,40427575,174474,0,40602049,95958,1434103,1530061,42132110,3120975.0,45253085,48754597,0,0.0,48754597,1432665.0,268655.0,3743612,-9623560,50814190,45253085,0.82,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
708,1995,MN,Minnesota,42502869,398961,0,42901830,92005,2177052,2269056,45170886,8588933.0,53759819,53958771,0,0.0,53958771,2279616.0,147962.0,4118416,-7127095,56564297,53759819,0.88,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
709,1993,MN,Minnesota,41254101,294196,0,41548297,85727,2406611,2492338,44040634,6710873.0,50751507,49210670,0,0.0,49210670,2486625.0,479646.0,3938510,-5174183,51455837,50751507,0.91,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
710,1994,MN,Minnesota,40917280,329811,0,41247091,84744,2565819,2650563,43897654,7855537.0,51753191,51155105,0,0.0,51155105,2651372.0,112872.0,3886066,-5735100,53435546,51753191,0.9,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
711,1999,MN,Minnesota,44153826,831725,605974,45591525,130607,2797248,2927855,48519380,7100775.0,55620155,57399085,0,0.0,57399085,2858845.0,1103213.0,4503081,-10022208,59975811,55620155,0.85,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
712,1992,MN,Minnesota,37783876,315608,0,38099484,101121,2058281,2159401,40258885,5470476.0,45729361,47412154,0,0.0,47412154,2132519.0,45502.0,3748110,-7671345,49557550,45729361,0.86,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
713,2012,MN,Minnesota,42338049,8083809,835479,51257337,172657,1324439,1497097,52754433,6973759.0,59728192,67144577,0,843958.0,67988535,1024472.0,459296.0,3681848,-14588588,1162628,59728192,0.8,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
714,2003,MN,Minnesota,49576276,2858498,697304,53132078,116934,1801984,1918918,55050995,3851747.0,58902742,62501531,0,585808.0,63087339,2928218.0,6363046.0,4632385,-17703983,2521027,58902742,0.77,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
715,2002,MN,Minnesota,48568719,1205777,552381,50326877,123654,2327435,2451089,52777966,6605476.0,59383442,62162361,0,663691.0,62826052,2891501.0,2431052.0,4712559,-12980751,2391639,59383442,0.82,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
716,1996,MN,Minnesota,41791506,432024,0,42223530,121272,1983636,2104908,44328439,9092663.0,53421102,54941699,0,0.0,54941699,2108810.0,255240.0,4264668,-8550150,57394294,53421102,0.86,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
717,1997,MN,Minnesota,40302526,445402,50352,40798280,129405,2312611,2442015,43240296,10009187.0,53249483,55674293,0,0.0,55674293,2313512.0,119906.0,4197671,-9271152,58145070,53249483,0.85,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
718,2000,MN,Minnesota,46615673,1067259,605049,48287982,127160,3008198,3135357,51423339,8516659.0,59939998,59782089,0,0.0,59782089,3001076.0,624792.0,4650046,-7709793,62312169,59939998,0.89,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
719,2001,MN,Minnesota,44798014,1424006,510126,46732146,136561,1654521,1791082,48523228,8870551.0,57393779,60686852,0,0.0,60686852,2829982.0,600755.0,4745922,-10371899,1729320,57393779,0.85,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
720,2016,MO,Missouri,75449280,2859905,56361,78365546,198724,47243,245967,78611513,,78611513,78618056,0,,78618056,313675.0,,4103161,-5249308,825928,78611513,0.94,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
721,2000,MO,Missouri,76283550,0,0,76283550,145284,165105,310389,76593939,0.0,76593939,72642699,0,0.0,72642699,308583.0,0.0,5650386,-4846461,75717062,76593939,0.94,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
722,2014,MO,Missouri,85271253,2294366,52280,87617899,165276,51293,216569,87834468,0.0,87834468,83878397,0,,83878397,276799.0,0.0,4367543,-1773731,1085461,87834468,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
723,2015,MO,Missouri,80878917,2514338,39631,83432886,163979,43202,207181,83640067,0.0,83640067,81504081,0,,81504081,268017.0,0.0,4064889,-3443976,1247056,83640067,0.96,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
724,2001,MO,Missouri,78990878,226090,0,79216968,137462,190445,327907,79544875,0.0,79544875,73213157,0,0.0,73213157,294602.0,0.0,5725522,-1480366,2086267,79544875,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
725,2004,MO,Missouri,86419717,828119,46230,87294066,155288,183557,338844,87632910,0.0,87632910,74034612,0,19684.0,74054296,305146.0,6276.0,5426402,4488629,3657002,87632910,1.05,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
726,1998,MO,Missouri,74894188,0,0,74894188,116623,176535,293159,75187347,599.0,75187946,68985563,24373,0.0,69009936,293159.0,314.0,4907137,-1893028,72104219,75187946,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
727,2007,MO,Missouri,89925724,819998,44941,90790663,194007,168412,362418,91153081,834.0,91153915,85512809,0,20041.0,85532850,138902.0,300.0,5413586,-1294914,1363191,91153915,0.99,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
728,2008,MO,Missouri,89178555,1422675,126817,90728047,151060,149688,300748,91028795,208971.0,91237766,84275150,0,106526.0,84381676,310758.0,15400.0,5375154,52812,1101966,91237766,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
729,2012,MO,Missouri,88747138,2796677,49454,91593269,159504,51548,211052,91804321,11573.0,91815894,82435359,0,,82435359,229605.0,1197.0,4464201,3275857,1409674,91815894,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
730,2010,MO,Missouri,90176805,1842611,54513,92073929,124625,114435,239060,92312989,3622.0,92316611,86085117,0,0.0,86085117,256411.0,2360.0,5318146,-100799,755377,92316611,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
731,2006,MO,Missouri,91118304,164770,30407,91313481,200749,172114,372862,91686343,2975.0,91689318,81995540,0,19690.0,82015230,160160.0,10.0,5317775,433931,3922212,91689318,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
732,2009,MO,Missouri,86704766,1382896,41372,88129034,104410,120828,225238,88354272,669248.0,89023520,79878114,0,19186.0,79897300,245721.0,10786.0,5086056,3063425,720231,89023520,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
733,2005,MO,Missouri,90159045,319094,5236,90483375,162746,182109,344855,90828230,12308.0,90840538,80920922,0,19572.0,80940494,292893.0,2087.0,5409718,626940,3861007,90840538,1.01,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
734,2011,MO,Missouri,92620740,1997909,40925,94659574,145672,71150,216822,94876397,11641.0,94888038,84254841,0,,84254841,232858.0,201.0,5206413,4659966,533759,94888038,1.05,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
735,2017,MO,Missouri,81060603,3263785,61601,84385990,174556,46185,220741,84606731,0.0,84606731,76461419,0,,76461419,287574.0,0.0,4159381,3189671,508685,84606731,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
736,2013,MO,Missouri,89217205,2127559,58545,91403309,165911,57373,223284,91626593,1787.0,91628380,83406957,0,,83406957,282997.0,0.0,4480592,2199618,1258216,91628380,1.02,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
737,2018,MO,Missouri,79780367,5013733,84107,84878207,174501,42676,217177,85095384,,85095384,82055835,0,,82055835,276831.0,,4232247,-1920378,450848,85095384,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
738,1990,MO,Missouri,59010858,0,0,59010858,157956,184016,341972,59352830,0.0,59352830,53924637,0,0.0,53924637,337933.0,0.0,4094002,-1057567,56262133,59352830,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
739,1991,MO,Missouri,60120689,0,0,60120689,144693,209343,354036,60474725,0.0,60474725,56514156,0,0.0,56514156,353331.0,0.0,4339428,-2823115,58901545,60474725,0.96,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
740,1995,MO,Missouri,65400254,0,0,65400254,140040,180664,320703,65720957,450.0,65721407,62258967,0,0.0,62258967,320703.0,0.0,4751930,-4358395,65265292,65721407,0.94,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
741,1993,MO,Missouri,53202268,0,0,53202268,149194,201506,350700,53552968,0.0,53552968,58622069,0,0.0,58622069,348607.0,0.0,4691738,-12494360,61296619,53552968,0.81,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
742,1994,MO,Missouri,61519090,0,0,61519090,156960,201628,358588,61877678,0.0,61877678,59692758,0,0.0,59692758,358588.0,0.0,4534640,-5070808,62353795,61877678,0.92,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
743,1999,MO,Missouri,73504882,0,0,73504882,141028,169800,310828,73815710,3559.0,73819269,68975652,69318,0.0,69044970,310124.0,122.0,5416725,-3811422,72144489,73819269,0.95,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
744,1992,MO,Missouri,56627107,0,0,56627107,127583,196983,324566,56951673,0.0,56951673,54410855,0,0.0,54410855,322032.0,0.0,4301384,-4277395,56872951,56951673,0.93,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
745,2003,MO,Missouri,86102107,783437,0,86885544,134075,205468,339543,87225087,0.0,87225087,74219824,0,20064.0,74239888,304828.0,208.0,5451296,4566697,2966693,87225087,1.06,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
746,2002,MO,Missouri,79796801,1038781,0,80835582,140367,186249,326616,81162198,136.0,81162334,75000629,0,20013.0,75020642,301006.0,136.0,5627270,-2341873,2855858,81162334,0.97,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
747,1996,MO,Missouri,67827241,0,0,67827241,120278,175009,295286,68122527,0.0,68122527,64843243,0,0.0,64843243,295286.0,0.0,5033242,-4713691,67737838,68122527,0.94,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
748,1997,MO,Missouri,71073239,0,0,71073239,117933,183014,300947,71374186,1160.0,71375346,65672525,38806,0.0,65711331,300947.0,0.0,4954434,-2272656,68627556,71375346,0.97,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
749,2020,MO,Missouri,66734457,5581061,38710,72354228,173687,39954,213641,72567869,0.0,72567869,75725712,0,,75725712,267786.0,0.0,4217488,-7473419,-169698,72567869,0.91,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
750,2016,MS,Mississippi,54759578,6184892,0,60944470,0,1936825,1936825,62881295,,62881295,49050164,0,,49050164,1858114.0,,2559981,8897736,515300,62881295,1.16,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
751,2000,MS,Mississippi,33896003,1403816,0,35299819,25798,2288945,2314743,37614562,0.0,37614562,45336178,0,0.0,45336178,2329385.0,0.0,3526396,-13214383,47254884,37614562,0.74,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
752,2014,MS,Mississippi,47084382,6190824,0,53275206,20988,1830898,1851886,55127092,0.0,55127092,49408631,0,,49408631,1763652.0,0.0,2572704,742713,639391,55127092,1.01,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
753,2015,MS,Mississippi,56272953,6564984,0,62837937,7117,1912810,1919927,64757864,0.0,64757864,48691529,0,,48691529,1847958.0,0.0,2428414,11044956,745006,64757864,1.21,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
754,2001,MS,Mississippi,47550273,2277372,1439576,51267221,22768,2156463,2179231,53446452,0.0,53446452,44286865,0,0.0,44286865,2302818.0,0.0,3463386,4431908,1261989,53446452,1.09,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
755,2004,MS,Mississippi,32838145,9060330,0,41898475,24549,1739589,1764138,43662613,0.0,43662613,46032538,0,0.0,46032538,2385239.0,0.0,3373080,-8018602,2273211,43662613,0.84,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
756,1998,MS,Mississippi,31991676,4059,0,31995735,21861,2391461,2413322,34409057,0.0,34409057,42510238,0,0.0,42510238,2417381.0,0.0,3022805,-13075003,44416327,34409057,0.72,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
757,2007,MS,Mississippi,34426533,13717712,0,48144245,11675,1887767,1899441,50043686,0.0,50043686,48153181,0,0.0,48153181,1970213.0,0.0,3047734,-3894890,767448,50043686,0.93,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
758,2008,MS,Mississippi,33796221,12652637,0,46448859,11918,1744934,1756852,48205711,0.0,48205711,47721235,0,0.0,47721235,1876320.0,0.0,3039866,-5054916,623206,48205711,0.91,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
759,2012,MS,Mississippi,41844010,9738615,0,51582625,21552,2980118,3001670,54584295,0.0,54584295,48387675,0,,48387675,1880883.0,0.0,2620384,867906,827447,54584295,1.02,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
760,2010,MS,Mississippi,40841436,11778569,0,52620005,22368,1844888,1867255,54487260,0.0,54487260,49687166,0,,49687166,1797858.0,0.0,3069562,-503319,435993,54487260,0.99,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
761,2006,MS,Mississippi,34158706,10182120,0,44340826,6586,1881436,1888021,46228847,0.0,46228847,46936437,0,0.0,46936437,1963919.0,0.0,3043306,-5997499,2244640,46228847,0.89,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
762,2009,MS,Mississippi,34759024,12129173,0,46888197,24052,1789235,1813287,48701484,0.0,48701484,46049154,0,,46049154,1881334.0,0.0,2931371,-2575483,415108,48701484,0.95,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
763,2005,MS,Mississippi,30619168,12703664,0,43322832,19394,1725227,1744621,45067453,0.0,45067453,45901064,0,0.0,45901064,1166405.0,0.0,3067831,-6092172,2189563,45067453,0.88,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
764,2011,MS,Mississippi,41831306,7884188,0,49715494,24073,1831376,1855449,51570943,0.0,51570943,49337557,0,,49337557,1755077.0,0.0,3048747,-2882995,312556,51570943,0.95,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
765,2017,MS,Mississippi,51510004,6291252,0,57801256,5358,1921023,1926381,59727637,0.0,59727637,47822944,0,5843.0,47828787,1848406.0,0.0,2601811,7130436,318197,59727637,1.14,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
766,2013,MS,Mississippi,45413403,4579927,0,49993330,22550,2794384,2816934,52810264,0.0,52810264,48781990,0,,48781990,1769782.0,0.0,2620551,-1097948,735889,52810264,0.98,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
767,2018,MS,Mississippi,53310877,8248126,0,61559003,0,1914768,1914768,63473771,,63473771,50383940,0,6128.0,50390068,1842491.0,,2599001,8365348,276863,63473771,1.15,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
